"Discount","Profit","Sales"
0.0,320987.6031999998,1087908.4699999911
0.2,90337.30600000004,764594.3680000046
0.4,-23057.05040000001,116417.78400000009
0.3,-10369.277399999997,103226.65499999988
0.5,-20506.428099999997,58918.53999999998
0.1,9029.176999999998,54369.35100000001
0.7,-40075.356899999955,40620.282000000065
0.15,1418.9915,27558.521500000006
0.8,-30539.039199999985,16963.75599999999
0.32,-2391.1377000000007,14493.458799999999
0.6,-5944.655200000002,6644.700000000003
0.45,-2493.1111,5484.974
