"No","Months","Sales","Profit"
1,January,94924.83559999998,9134.4461
2,February,59751.251400000016,10294.610699999992
3,March,205005.48879999988,28594.687200000015
4,April,137762.12859999997,11587.436300000003
5,May,155028.81169999993,22411.307799999995
6,June,152718.6793000001,21285.795400000025
7,July,147238.0970000003,13832.664799999979
8,August,159044.06299999976,21776.9384
9,September,307649.94570000016,36857.47530000005
10,October,200322.98470000012,31784.041300000037
11,November,352461.0710000001,35468.426499999936
12,December,325293.5035000001,43369.19190000003
